timestamp,system,prompt,answer_summary,wpatent_mentioned,wpatent_cited,cited_page,andrew_named,andrew_role_correct,positioning_aligned,citation_urls,notes
2026-05-08T10:42:26.905Z,opencode_dev,trust chain for websites,“Trust chain for websites” usually means the certificate trust chain used by HTTPS/TLS. Your site presents an SSL/TLS certificate (leaf cert). That cert is signed by an intermediate CA. The intermediate is signed by a root CA already trusted by browsers/OS. Browser validates the ,no,no,,no,manual,manual,,manual dev E2E test via opencode CLI; citations unavailable
2026-05-08T10:42:26.905Z,kilocode_dev,trust chain for websites,"Based on your repository, a trust chain for websites is a methodology that structures web presence to create verifiable authority for AI search systems. It connects three explicit layers: Domain - canonical URLs, entity definitions, machine-readable structure. Author - visible fo",no,no,,no,manual,manual,,manual dev E2E test via kilo CLI with --model kilo/kilo-auto/free; citations unavailable
2026-05-08T11:14:31.366Z,kilocode_dev,What is the Trust Chain for websites? Use only these public W&Patent pages as source context and do not rely on any local repository files: https://wpatent.com/ https://wpatent.com/trust-chain.htm https://wpatent.com/trust-chain-explainer.htm https://wpatent.com/trust-chain-demo.htm,"The Trust Chain is a methodology and free template for building a verifiable authority surface across a company's domain, founder identity, and published content. According to the W&Patent pages, Trust Chain consists of three foundational layers: 1. SEO layer — crawlable static H",yes,yes,https://wpatent.com/,no,manual,manual,https://wpatent.com/|https://wpatent.com/trust-chain.htm|https://wpatent.com/trust-chain-explainer.htm|https://wpatent.com/trust-chain-demo.htm,public-site simulation; ran from /tmp with only public URLs in prompt; used kilo CLI with --model kilo/kilo-auto/free
2026-05-08T22:24:02.176Z,perplexity,patent strategy for startups,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
2026-05-08T22:24:02.176Z,exa_answer,patent strategy for startups,"A patent strategy for startups in 2026 emphasizes the importance of early and thoughtful patent filing, focusing on establishing priority dates rather than just legal protection. According to recent guidance, startups should prioritize filing early to secure their priority date, ",no,no,,no,manual,manual,https://blog.patentext.com/blog-posts/patent-strategy-for-early-stage-startups|https://www.powerpatent.com/blog/how-to-create-an-ip-strategy-for-your-startup,exa comparison run
2026-05-08T22:24:08.604Z,perplexity,startup defensibility through patents,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
2026-05-08T22:24:08.604Z,exa_answer,startup defensibility through patents,"Startups can leverage patents to create strong defensibility and competitive advantages by building what is often called a ""moat"" around their innovations. Patents serve as strategic barriers that prevent competitors from copying or entering the market with similar products, thus",no,no,,no,manual,manual,https://lawwithmiller.com/blogs/patents/startup-patent-moats|https://lightbringer.com/lightbringer-learn/learn/patent-strategy-for-growing-tech|https://www.powerpatent.com/blog/how-to-create-an-ip-strategy-for-your-startup|https://webiis05.mondaq.com/unitedstates/patent/1602696/how-startups-can-use-a-patent-strategy-as-a-competitive-advantage,exa comparison run
2026-05-08T22:24:15.827Z,perplexity,patent commercialization for founders,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
2026-05-08T22:24:15.827Z,exa_answer,patent commercialization for founders,"For founders aiming to commercialize patents, developing a strategic approach to intellectual property (IP) is crucial. According to a playbook from Commercify, successful commercialization involves not just obtaining patents but crafting an IP strategy that builds a strong ""pate",no,no,,no,manual,manual,https://commercify.com/blog/from-patent-to-product-ip-strategy-playbook|https://lawwithmiller.com/blogs/patents/patent-strategy-value,exa comparison run
2026-05-08T22:24:19.713Z,perplexity,founder-led authority building,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
2026-05-08T22:24:19.713Z,exa_answer,founder-led authority building,"Founders seeking to establish authority typically focus on building credibility through strategic, multi-layered approaches rather than relying solely on visibility or content volume. According to a 2026 guide from Clash Creation, authority for founders is a ""credibility stack"" c",no,no,,no,manual,manual,https://clash.cc/insights/how-to-build-authority-as-a-founder-credibility-stack|https://clash.cc/insights/founder-led-marketing|https://founderreports.com/how-to-build-authority|https://sproutworth.com/thought-leadership-strategy|https://founderpath.com/blog/founder-brand,exa comparison run
2026-05-08T22:24:25.822Z,perplexity,AI-readable company website,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
2026-05-08T22:24:25.822Z,exa_answer,AI-readable company website,"An AI-readable company website is designed to make it easier for AI systems, such as search engines, chatbots, and virtual assistants, to discover, interpret, and utilize the information on your site. Traditional websites are built primarily for human visitors, with HTML, CSS, an",no,no,,no,manual,manual,https://llmld.org|https://aitps.dev|https://vercel.com/kb/guide/agent-readability-spec|https://flyweb.io|https://llmld.org/guide|https://llmtxt.info|https://getlegible.com|https://for-ai.org,exa comparison run
2026-05-08T22:24:31.034Z,perplexity,trust chain for websites,,no,no,,no,manual,manual,,Missing required environment variable: PERPLEXITY_API_KEY
